,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,eye_ear_list
345,218/2017-01-15 10.21.56.jpg,218,78.0,66.0,109.0,"[0.7253648, 0.2300993, 0.6156862676143646]",0.17925673723220825,"[-0.44899664271941275, 244.20483205702544]","[10.254954187522419, 10.517314832709086]","rectangles[[(1182, 712) (1405, 935)]]",1,[12.0],[8.0],[23.0],"[(0.24211246207733436, 0.23406139731288847)]"
346,218/2017-01-15 10.21.57.jpg,218,69.0,55.0,101.0,"[0.71850634, 0.235264, 0.6274509727954865]",0.17686067521572113,"[-0.11291966075260258, 97.62171889492625]","[10.191248666254857, 10.299311748316143]",rectangles[],0,[],[],[],[]
347,218/2017-01-15 10.21.59.jpg,218,78.0,66.0,111.0,"[0.7155413, 0.2374421, 0.6313725411891937]",0.1802479773759842,"[-0.13153190481418284, 259.2392717163046]","[10.197353722864513, 10.41102682121897]","rectangles[[(228, 127) (271, 170)]]",1,[9.0],[0.0],[16.0],"[(0.29953523924572845, 0.29953523924572845)]"
348,218/2017-01-15 10.22.00.jpg,218,76.0,64.0,109.0,"[0.7114161, 0.23837735, 0.6313725411891937]",0.17807669937610626,"[-0.017542060057402487, 57.0087712549569]","[10.16868079407535, 10.308909221114467]","rectangles[[(1003, 647) (1270, 914)]]",1,[17.0],[12.0],[31.0],"[(0.28082797815086524, 0.2665141644195273)]"
349,219/2017-01-28 20.16.09.jpg,219,32.0,11.0,51.0,"[0.45396048, 0.30789334, 0.8745098039507866]",0.3837141990661621,"[1.3991682584140166, 76.11832893594026]","[10.367675401810413, 10.468494903225405]","rectangles[[(1833, 650) (2499, 1316)], [(1219, 911) (1774, 1466)]]",2,"[6.0, 5.0]","[4.0, 3.0]","[11.0, 8.0]","[(0.3570719647656986, 0.34490052308345687), (0.28915959487402015, 0.27127550615375773)]"
350,219/2017-01-28 20.16.10.jpg,219,36.0,14.0,54.0,"[0.45548406, 0.30129433, 0.866666667163372]",0.36937451362609863,"[-1.0104364498900535, 60.207972893961475]","[10.344675996480893, 10.377920546960853]","rectangles[[(1281, 850) (1835, 1404)], [(1907, 650) (2573, 1316)], [(502, 798) (1167, 1464)]]",3,"[6.0, 8.0, 12.0]","[3.0, 5.0, 6.0]","[9.0, 14.0, 22.0]","[(0.30082289443682186, 0.28307052165495267), (0.35148049613452675, 0.3414806243785093), (0.3533865312597805, 0.3229412375320772)]"
351,219/2017-01-28 20.16.19.jpg,219,41.0,15.0,58.0,"[0.47970274, 0.2771352, 0.8235294073820114]",0.42623570561408997,"[0.04107277859045407, 73.06161783043132]","[10.247480873747094, 10.307061682548486]","rectangles[[(1934, 692) (2732, 1491)], [(1342, 973) (1897, 1528)], [(1633, 18) (1669, 54)], [(541, 850) (1096, 1404)]]",4,"[9.0, 5.0, 6.0, 9.0]","[5.0, 3.0, 0.0, 4.0]","[18.0, 11.0, 9.0, 18.0]","[(0.29721438130329764, 0.3464041138942791), (0.3021449469596114, 0.2904929674384698), (0.2, 0.40236892706218247), (0.3504057658369337, 0.2927356813122821)]"
352,219/2017-01-28 20.16.20.jpg,219,40.0,13.0,61.0,"[0.4850547, 0.2870747, 0.8392156809568405]",0.43804529309272766,"[0.1131509815904845, 177.13271860387624]","[10.309536964830148, 10.333677047562198]","rectangles[[(1342, 911) (1897, 1466)], [(1907, 724) (2573, 1390)], [(849, 726) (1404, 1281)]]",3,"[5.0, 7.0, 9.0]","[3.0, 4.0, 4.0]","[8.0, 13.0, 18.0]","[(0.3252496936433624, 0.3157466335646188), (0.2849095767045794, 0.3112786062562678), (0.29724108478552863, 0.2122113941628836)]"
353,219/2017-01-28 20.16.21.jpg,219,45.0,17.0,67.0,"[0.5812296, 0.29368567, 0.7999999970197678]",0.40920352935791016,"[0.09148701687150786, 109.45775440780794]","[10.24497416026188, 10.311714068514108]","rectangles[[(1219, 973) (1774, 1528)], [(788, 911) (1342, 1466)], [(1668, 692) (2466, 1491)]]",3,"[6.0, 9.0, 9.0]","[3.0, 4.0, 5.0]","[12.0, 19.0, 20.0]","[(0.36039927920216236, 0.3508963466953148), (0.33183182419798407, 0.2685757152690952), (0.3054851065809089, 0.3551233287322081)]"
354,219/2017-01-28 20.16.22.jpg,219,41.0,15.0,62.0,"[0.55487704, 0.28422406, 0.7999999970197678]",0.415531724691391,"[0.7309067071567171, 194.74342094150447]","[10.283136536762088, 10.361656370754686]","rectangles[[(1219, 973) (1774, 1528)], [(726, 911) (1281, 1466)], [(1756, 692) (2555, 1491)]]",3,"[5.0, 7.0, 9.0]","[3.0, 3.0, 5.0]","[12.0, 17.0, 19.0]","[(0.34401045807689073, 0.3340910253043385), (0.3824194710025688, 0.3133899093455278), (0.30794153617656866, 0.3550049220919344)]"
355,220/2017-01-28 20.16.55.jpg,220,12.0,9.0,23.0,"[0.5224256, 0.23464023, 0.6784313768148422]",0.4342944622039795,"[-0.6055446636049701, 94.86832980505137]","[10.266145968753698, 10.357476014172768]","rectangles[[(514, 1313) (1313, 2112)]]",1,[10.0],[7.0],[15.0],"[(0.47016737407631953, 0.4116167037692164)]"
