,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,eye_ear_list
0,100/img-2011-07-01-0955-1.JPG,100,32.0,15.0,42.0,"[0.5731577, 0.27944005, 0.8156862780451775]",0.10466746985912323,"[1.5437758776076318, 74.02702209328699]","[9.9622532831943, 10.225385181389074]",rectangles[],0,[],[],[],[]
1,100/img-2011-07-01-0955.JPG,100,39.0,17.0,62.0,"[0.6489286, 0.3046805, 0.8901960775256157]",0.09222488105297089,"[1.2106031823770664, 82.28000972289685]","[10.172878889713823, 10.398059382866535]","rectangles[[(1650, 480) (2205, 1035)]]",1,[7.0],[3.0],[16.0],"[(0.25205576782082, 0.24215525922248218)]"
2,101/img-2011-07-01-1103-1.JPG,101,41.0,25.0,58.0,"[0.37268257, 0.19458061, 0.45098041743040085]",0.19544044137001038,"[-0.050803704058221655, 118.15244390193544]","[10.244997618169029, 10.302721859421906]","rectangles[[(796, 904) (903, 1011)]]",1,[10.0],[5.0],[17.0],"[(0.22591014555828173, 0.1785976516260853)]"
3,101/img-2011-07-01-1103.JPG,101,45.0,23.0,59.0,"[0.37207887, 0.21985084, 0.5019608065485954]",0.17466087639331818,"[0.17176015132820327, 99.46356116689167]","[10.341704474622627, 10.339033779878383]","rectangles[[(784, 899) (913, 1028)]]",1,[14.0],[6.0],[24.0],"[(0.2532803652007522, 0.22342266608921582)]"
