,im_path,set_name,sharpness,noise,motion_blur,contrast,saturation,lines,symmetry,faces,number_of_faces,faces_sharp_all,faces_noise_all,faces_motion_blur_all,closed_eyes
23,105/img-2011-07-01-1229.JPG,105,30.0,13.0,42.0,"[0.5538556, 0.23020476, 0.6627451032400131]",0.24262568354606628,"[-1.5560915044170451, 136.01470508735443]","[10.213248262109198, 10.288326996117117]",rectangles[],0,[],[],[],[]
24,106/img-2011-07-01-1629-1.JPG,106,35.0,14.0,52.0,"[0.5641554, 0.21402209, 0.6235294193029404]",0.09500602632761002,"[0.10827059086045604, 138.81282361511128]","[10.175220414007395, 10.23437146722645]",rectangles[],0,[],[],[],[]
25,106/img-2011-07-01-1629-2.JPG,106,30.0,12.0,45.0,"[0.59652567, 0.17159264, 0.3843137323856354]",0.10208702087402344,"[0.449759613069839, 64.40496875241847]","[10.15878386360308, 10.247412456816466]",rectangles[],0,[],[],[],[]
26,106/img-2011-07-01-1629-3.JPG,106,28.0,12.0,45.0,"[0.5994283, 0.15463984, 0.3764705955982208]",0.11808177828788757,"[0.03277514440407577, 61.032778078668514]","[10.267620664918057, 10.303468452504697]",rectangles[],0,[],[],[],[]
27,106/img-2011-07-01-1629.JPG,106,31.0,11.0,46.0,"[0.48600638, 0.28164113, 0.7372549138963223]",0.07701601833105087,"[0.32724500459985867, 115.10864433221339]","[10.234589692404626, 10.251199660680589]",rectangles[],0,[],[],[],[]
28,107/img-2011-07-01-1630-1.JPG,107,25.0,8.0,42.0,"[0.5338098, 0.30443946, 0.7568627521395683]",0.12774807214736938,"[0.20401797959254858, 59.22837157984339]","[10.148157458005885, 10.304331164327692]",rectangles[],0,[],[],[],[]
29,107/img-2011-07-01-1630.JPG,107,34.0,14.0,56.0,"[0.446965, 0.3046011, 0.7568627558648586]",0.06613773852586746,"[0.16743177847052315, 72.00694410957877]","[10.203253612321108, 10.34709661488532]","rectangles[[(1135, 1579) (1934, 2378)]]",1,[28.0],[13.0],[47.0],"[[0, 0]]"
30,107/img-2011-07-01-1631-1.JPG,107,14.0,7.0,27.0,"[0.43099323, 0.2957367, 0.7294117771089077]",0.10699958354234695,"[-0.12786991855999988, 70.57619995437555]","[10.079021656454039, 10.298098225940281]",rectangles[],0,[],[],[],[]
31,107/img-2011-07-01-1631-2.JPG,107,28.0,8.0,45.0,"[0.55634856, 0.26358598, 0.6705882400274277]",0.15014603734016418,"[0.5302157727766299, 134.46189051177288]","[10.258594538330067, 10.375977655063984]",rectangles[],0,[],[],[],[]
32,107/img-2011-07-01-1631.JPG,107,28.0,10.0,47.0,"[0.48124614, 0.28733587, 0.7294117733836174]",0.10448581725358963,"[1.0875433869368858, 114.06138698087096]","[10.167641222995174, 10.196598315635002]",rectangles[],0,[],[],[],[]
33,107/img-2011-07-01-1633-1.JPG,107,35.0,15.0,57.0,"[0.480979, 0.2773499, 0.733333345502615]",0.0807686597108841,"[0.06807645825799948, 88.20430828479978]","[10.195596110758357, 10.341592860317169]",rectangles[],0,[],[],[],[]
34,107/img-2011-07-01-1633-2.JPG,107,33.0,12.0,56.0,"[0.46701917, 0.28017178, 0.7137254998087883]",0.12393627315759659,"[-0.23602367862589738, 81.25269226308751]","[10.02938530724158, 10.260306803948101]",rectangles[],0,[],[],[],[]
35,107/img-2011-07-01-1633-3.JPG,107,28.0,10.0,50.0,"[0.5186384, 0.32121345, 0.7450980469584465]",0.12961265444755554,"[-0.7772682612175044, 86.97700845625813]","[10.09853152940035, 10.270361231786266]",rectangles[],0,[],[],[],[]
36,107/img-2011-07-01-1633.JPG,107,30.0,9.0,51.0,"[0.5177643, 0.27124095, 0.709803931415081]",0.12832078337669373,"[1.1708920303267776, 105.30906893520614]","[9.898993593174755, 10.206889460898887]",rectangles[],0,[],[],[],[]
37,108/img-2011-07-04-1406-1.JPG,108,75.0,53.0,120.0,"[0.455712, 0.36739862, 0.960784312337637]",0.2489394247531891,"[1.4319888607122946, 137.32079230764728]","[10.318685630075384, 10.27776129317146]","rectangles[[(2544, 1034) (2767, 1257)]]",1,[11.0],[7.0],[22.0],"[[0, 0]]"
38,108/img-2011-07-04-1406-2.JPG,108,83.0,65.0,125.0,"[0.46522844, 0.363116, 0.9529411755502224]",0.2708788812160492,"[-1.0335974273055508, 213.00234740490538]","[10.28800357591914, 10.282248684660203]","rectangles[[(2429, 1003) (2697, 1271)], [(1925, 1133) (2148, 1356)]]",2,"[19.0, 13.0]","[12.0, 8.0]","[34.0, 22.0]","[[0, 0], [0, 0]]"
39,108/img-2011-07-04-1406.JPG,108,87.0,71.0,127.0,"[0.42930958, 0.37314552, 0.960784312337637]",0.2776806950569153,"[0.5255837935516102, 57.8013840664737]","[10.169317764909843, 10.278689687579268]","rectangles[[(2594, 1282) (2817, 1505)], [(2049, 1381) (2272, 1604)]]",2,"[13.0, 22.0]","[9.0, 12.0]","[24.0, 36.0]","[[0, 0], [0, 0]]"
40,109/img-2011-07-04-1516-1.JPG,109,47.0,31.0,76.0,"[0.6349633, 0.2901748, 0.7725490182638168]",0.2806023955345154,"[-0.2135604334804882, 169.85876486069242]","[10.165461192554138, 10.301473154694502]","rectangles[[(889, 890) (2270, 2270)], [(603, 2733) (1401, 3532)]]",2,"[18.0, 6.0]","[9.0, 3.0]","[31.0, 15.0]","[[0, 0], [0, 0]]"
41,109/img-2011-07-04-1516-2.JPG,109,44.0,25.0,71.0,"[0.64066535, 0.28648278, 0.7568627446889877]",0.26962509751319885,"[-1.4505008498669425, 183.3248482884958]","[10.287899012376977, 10.276371888457653]","rectangles[[(869, 486) (2019, 1636)], [(603, 2023) (1401, 2822)]]",2,"[15.0, 8.0]","[7.0, 3.0]","[26.0, 16.0]","[[0, 0], [0, 0]]"
42,109/img-2011-07-04-1516-3.JPG,109,59.0,39.0,89.0,"[0.7177462, 0.2574679, 0.6823529303073883]",0.3183150887489319,"[-0.19335789673109366, 145.71547618561317]","[10.218776131226145, 10.261863596985581]","rectangles[[(1241, 1168) (1907, 1833)], [(1067, 2300) (1529, 2762)]]",2,"[8.0, 4.0]","[3.0, 2.0]","[17.0, 10.0]","[[0, 0], [0, 0]]"
43,109/img-2011-07-04-1516-4.JPG,109,78.0,66.0,111.0,"[0.6643798, 0.2621815, 0.7333333194255829]",0.3759649693965912,"[-1.1341691669813554, 198.63534428696218]","[10.244434985940043, 10.305143225892513]","rectangles[[(1774, 788) (2328, 1343)], [(1580, 1838) (2043, 2300)], [(1557, 410) (1593, 446)]]",3,"[13.0, 5.0, 14.0]","[4.0, 2.0, 0.0]","[22.0, 12.0, 21.0]","[[0, 0], [0, 0], [0, 0]]"
44,109/img-2011-07-04-1516-5.JPG,109,97.0,88.0,127.0,"[0.46193528, 0.2843158, 0.7803921550512314]",0.4489019513130188,"[-0.14816002073183138, 67.7421582177598]","[10.243451515490046, 10.235552814688974]","rectangles[[(1478, 736) (1746, 1003)]]",1,[7.0],[6.0],[17.0],"[[0, 0]]"
45,109/img-2011-07-04-1516.JPG,109,57.0,37.0,86.0,"[0.60101146, 0.3014235, 0.8392156809568405]",0.2735324501991272,"[0.08314123188844123, 60.207972893961475]","[10.290290359537662, 10.352318045311897]","rectangles[[(1043, 937) (2001, 1895)], [(1389, 2499) (2055, 3165)]]",2,"[19.0, 4.0]","[9.0, 2.0]","[26.0, 11.0]","[[0, 0], [0, 0]]"
